time,Year,time_relative_1750,SST,SST_anomaly,PDI,,
0,1949,199,27.67306,-0.123254918,1.82E+11,,
1,1950,200,27.62029,-0.176024918,5.73E+11,,
2,1951,201,27.87006,0.073745082,2.87E+11,,27.69221833
3,1952,202,28.02661,0.230295082,1.72E+11,,
4,1953,203,27.9496,0.153285082,2.24E+11,,
5,1954,204,27.57289,-0.223424918,2.29E+11,,
6,1955,205,27.89352,0.097205082,4.64E+11,,
7,1956,206,27.57563,-0.220684918,1.05E+11,,
8,1957,207,28.00031,0.203995082,1.97E+11,,
9,1958,208,27.96931,0.172995082,2.61E+11,,
10,1959,209,27.4434,-0.090214918,1.53E+11,,
11,1960,210,27.7061,-0.090214918,2.55E+11,,
12,1961,211,27.69907,-0.097244918,5.05E+11,,
13,1962,212,27.83008,0.033765082,62258098836,,
14,1963,213,27.80315,0.006835082,2.40E+11,,
15,1964,214,27.45522,-0.341094918,3.87E+11,,
16,1965,215,27.58696,-0.209354918,1.78E+11,,
17,1966,216,27.86255,0.066235082,2.99E+11,,
18,1967,217,27.53905,-0.25726492,2.37E+11,,
19,1968,218,27.57263,-0.22368492,70311480977,,
20,1969,219,28.02424,0.22792508,3.19E+11,,
21,1970,220,27.68121,-0.11510492,87056142867,,
22,1971,221,27.37945,-0.41686492,2.11E+11,,
23,1972,222,27.40596,-0.39035492,72576255652,,
24,1973,223,27.56332,-0.23299492,1.02E+11,,
25,1974,224,27.29041,-0.50590492,1.67E+11,,
26,1975,225,27.46487,-0.33144492,1.76E+11,,
27,1976,226,27.76143,-0.03488492,1.95E+11,,
28,1977,227,27.51015,-0.28616492,65919329584,,
29,1978,228,27.52098,-0.27533492,1.46E+11,,
30,1979,229,27.87325,0.07693508,2.62E+11,,
31,1980,230,27.93514,0.13882508,4.21E+11,,
32,1981,231,27.77291,-0.02340492,2.20E+11,,
33,1982,232,27.39746,-0.39885492,74580427218,,
34,1983,233,27.59056,-0.20575492,33195298247,,
35,1984,234,27.38607,-0.41024492,1.69E+11,,
36,1985,235,27.57479,-0.22152492,2.11E+11,,
37,1986,236,27.49639,-0.29992492,84851992705,,
38,1987,237,28.15123,0.35491508,64478693529,,
39,1988,238,27.71681,-0.07950492,2.96E+11,,
40,1989,239,27.86768,0.07136508,3.63E+11,,
41,1990,240,28.08228,0.28596508,1.96E+11,,
42,1991,241,27.41771,-0.37860492,87216417117,,
43,1992,242,27.59487,-0.20144492,1.99E+11,,
44,1993,243,27.62325,-0.17306492,89235293000,,
45,1994,244,27.57063,-0.22568492,59635889157,,
46,1995,245,28.15299,0.35667508,5.68E+11,,
47,1996,246,27.82113,0.02481508,4.51E+11,,
48,1997,247,28.05831,0.26199508,96413848353,,
49,1998,248,28.36454,0.56822508,5.00E+11,,
50,1999,249,28.0766,0.28028508,4.79E+11,,
51,2000,250,27.82726,0.03094508,2.83E+11,,
52,2001,251,28.11684,0.32052508,2.66E+11,,
53,2002,252,27.87124,0.07492508,1.46E+11,,
54,2003,253,28.4429,0.64658508,5.09E+11,,
55,2004,254,28.38297,0.58665508,6.67E+11,,
56,2005,255,28.44763,0.65131508,6.88E+11,,
57,2006,256,28.39564,0.59932508,1.96E+11,,
58,2007,257,27.85678,0.06046508,2.51E+11,,
59,2008,258,28.29709,0.50077508,3.51E+11,,
60,2009,259,28.16075,0.36443508,1.38E+11,,
