Y,month,decimal_year,t,timer1750,average,interpolated_monthly,trended,Year,time,interpolated
1958,3,1958.208,0.208,208.208,315.71,315.71,314.62,1958,0,315.241
1958,4,1958.292,0.292,208.292,317.45,317.45,315.29,1959,1,315.9741667
1958,5,1958.375,0.375,208.375,317.5,317.5,314.71,1960,2,316.9075
1958,6,1958.458,0.458,208.458,-99.99,317.1,314.85,1961,3,317.6375
1958,7,1958.542,0.542,208.542,315.86,315.86,314.98,1962,4,318.4508333
1958,8,1958.625,0.625,208.625,314.93,314.93,315.94,1963,5,318.9941667
1958,9,1958.708,0.708,208.708,313.2,313.2,315.91,1964,6,319.6175
1958,10,1958.792,0.792,208.792,-99.99,312.66,315.61,1965,7,320.0441667
1958,11,1958.875,0.875,208.875,313.33,313.33,315.31,1966,8,321.3833333
1958,12,1958.958,0.958,208.958,314.67,314.67,315.61,1967,9,322.1575
1959,1,1959.042,1.042,209.042,315.62,315.62,315.7,1968,10,323.045
1959,2,1959.125,1.125,209.125,316.38,316.38,315.88,1969,11,324.6241667
1959,3,1959.208,1.208,209.208,316.71,316.71,315.62,1970,12,325.68
1959,4,1959.292,1.292,209.292,317.72,317.72,315.56,1971,13,326.32
1959,5,1959.375,1.375,209.375,318.29,318.29,315.5,1972,14,327.4533333
1959,6,1959.458,1.458,209.458,318.15,318.15,315.92,1973,15,329.6766667
1959,7,1959.542,1.542,209.542,316.54,316.54,315.66,1974,16,330.1841667
1959,8,1959.625,1.625,209.625,314.8,314.8,315.81,1975,17,331.115
1959,9,1959.708,1.708,209.708,313.84,313.84,316.55,1976,18,332.04
1959,10,1959.792,1.792,209.792,313.26,313.26,316.19,1977,19,333.8316667
1959,11,1959.875,1.875,209.875,314.8,314.8,316.78,1978,20,335.4033333
1959,12,1959.958,1.958,209.958,315.58,315.58,316.52,1979,21,336.8416667
1960,1,1960.042,2.042,210.042,316.43,316.43,316.51,1980,22,338.6258333
1960,2,1960.125,2.125,210.125,316.97,316.97,316.47,1981,23,340.105
1960,3,1960.208,2.208,210.208,317.58,317.58,316.49,1982,24,341.4475
1960,4,1960.292,2.292,210.292,319.02,319.02,316.86,1983,25,343.0541667
1960,5,1960.375,2.375,210.375,320.03,320.03,317.24,1984,26,344.6508333
1960,6,1960.458,2.458,210.458,319.59,319.59,317.36,1985,27,346.0175
1960,7,1960.542,2.542,210.542,318.18,318.18,317.3,1986,28,347.42
1960,8,1960.625,2.625,210.625,315.91,315.91,316.92,1987,29,349.1941667
1960,9,1960.708,2.708,210.708,314.16,314.16,316.87,1988,30,351.5666667
1960,10,1960.792,2.792,210.792,313.83,313.83,316.76,1989,31,353.1208333
1960,11,1960.875,2.875,210.875,315,315,316.98,1990,32,354.3941667
1960,12,1960.958,2.958,210.958,316.19,316.19,317.13,1991,33,355.6075
1961,1,1961.042,3.042,211.042,316.93,316.93,317.03,1992,34,356.4458333
1961,2,1961.125,3.125,211.125,317.7,317.7,317.28,1993,35,357.1
1961,3,1961.208,3.208,211.208,318.54,318.54,317.47,1994,36,358.8325
1961,4,1961.292,3.292,211.292,319.48,319.48,317.27,1995,37,360.82
1961,5,1961.375,3.375,211.375,320.58,320.58,317.7,1996,38,362.6066667
1961,6,1961.458,3.458,211.458,319.77,319.77,317.48,1997,39,363.7291667
1961,7,1961.542,3.542,211.542,318.57,318.57,317.7,1998,40,366.7
1961,8,1961.625,3.625,211.625,316.79,316.79,317.8,1999,41,368.3775
1961,9,1961.708,3.708,211.708,314.8,314.8,317.49,2000,42,369.5491667
1961,10,1961.792,3.792,211.792,315.38,315.38,318.35,2001,43,371.1433333
1961,11,1961.875,3.875,211.875,316.1,316.1,318.13,2002,44,373.2791667
1961,12,1961.958,3.958,211.958,317.01,317.01,317.94,2003,45,375.8016667
1962,1,1962.042,4.042,212.042,317.94,317.94,318.06,2004,46,377.5225
1962,2,1962.125,4.125,212.125,318.56,318.56,318.11,2005,47,379.7958333
1962,3,1962.208,4.208,212.208,319.68,319.68,318.57,2006,48,381.8958333
1962,4,1962.292,4.292,212.292,320.63,320.63,318.45,2007,49,383.7916667
1962,5,1962.375,4.375,212.375,321.01,321.01,318.2,2008,50,385.6041667
1962,6,1962.458,4.458,212.458,320.55,320.55,318.27,2009,51,387.43
1962,7,1962.542,4.542,212.542,319.58,319.58,318.67,2010,52,389.8991667
1962,8,1962.625,4.625,212.625,317.4,317.4,318.48,2011,53,391.6525
1962,9,1962.708,4.708,212.708,316.26,316.26,319.03,2012,54,393.8533333
1962,10,1962.792,4.792,212.792,315.42,315.42,318.33,2013,55,396.5208333
1962,11,1962.875,4.875,212.875,316.69,316.69,318.62,2014,56,398.6475
1962,12,1962.958,4.958,212.958,317.69,317.69,318.61,2015,57,400.8341667
1963,1,1963.042,5.042,213.042,318.74,318.74,318.91,2016,58,404.2391667
1963,2,1963.125,5.125,213.125,319.08,319.08,318.68,2017,59,406.5533333
1963,3,1963.208,5.208,213.208,319.86,319.86,318.69,2018,60,408.5216667
1963,4,1963.292,5.292,213.292,321.39,321.39,319.09,2019,61,411.524
1963,5,1963.375,5.375,213.375,322.25,322.25,319.39,,,
1963,6,1963.458,5.458,213.458,321.47,321.47,319.16,,,
1963,7,1963.542,5.542,213.542,319.74,319.74,318.77,,,
1963,8,1963.625,5.625,213.625,317.77,317.77,318.83,,,
1963,9,1963.708,5.708,213.708,316.21,316.21,319.06,,,
1963,10,1963.792,5.792,213.792,315.99,315.99,319,,,
1963,11,1963.875,5.875,213.875,317.12,317.12,319.1,,,
1963,12,1963.958,5.958,213.958,318.31,318.31,319.25,,,
1964,1,1964.042,6.042,214.042,319.57,319.57,319.67,,,
1964,2,1964.125,6.125,214.125,-99.99,320.07,319.61,,,
1964,3,1964.208,6.208,214.208,-99.99,320.73,319.55,,,
1964,4,1964.292,6.292,214.292,-99.99,321.77,319.48,,,
1964,5,1964.375,6.375,214.375,322.25,322.25,319.42,,,
1964,6,1964.458,6.458,214.458,321.89,321.89,319.69,,,
1964,7,1964.542,6.542,214.542,320.44,320.44,319.58,,,
1964,8,1964.625,6.625,214.625,318.7,318.7,319.81,,,
1964,9,1964.708,6.708,214.708,316.7,316.7,319.56,,,
1964,10,1964.792,6.792,214.792,316.79,316.79,319.78,,,
1964,11,1964.875,6.875,214.875,317.79,317.79,319.72,,,
1964,12,1964.958,6.958,214.958,318.71,318.71,319.59,,,
1965,1,1965.042,7.042,215.042,319.44,319.44,319.48,,,
1965,2,1965.125,7.125,215.125,320.44,320.44,319.97,,,
1965,3,1965.208,7.208,215.208,320.89,320.89,319.65,,,
1965,4,1965.292,7.292,215.292,322.13,322.13,319.8,,,
1965,5,1965.375,7.375,215.375,322.16,322.16,319.36,,,
1965,6,1965.458,7.458,215.458,321.87,321.87,319.65,,,
1965,7,1965.542,7.542,215.542,321.39,321.39,320.51,,,
1965,8,1965.625,7.625,215.625,318.81,318.81,319.93,,,
1965,9,1965.708,7.708,215.708,317.81,317.81,320.68,,,
1965,10,1965.792,7.792,215.792,317.3,317.3,320.36,,,
