,Year,time,interpolatedCO2
0,1750,0,278.5509888410431
1,1751,1,278.5509888410431
2,1752,2,278.5509888410431
3,1753,3,278.5509888410431
4,1754,4,278.5509888410431
5,1755,5,278.5509888410431
6,1756,6,278.5509888410431
7,1757,7,278.5509888410431
8,1758,8,278.5509888410431
9,1759,9,278.5509888410431
10,1760,10,278.5509888410431
11,1761,11,278.5509888410431
12,1762,12,278.5509888410431
13,1763,13,278.5509888410431
14,1764,14,278.5509888410431
15,1765,15,278.5509888410431
16,1766,16,278.5509888410431
17,1767,17,278.5509888410431
18,1768,18,278.8520971072272
19,1769,19,278.8520971072272
20,1770,20,278.8520971072272
21,1771,21,278.8520971072272
22,1772,22,278.8520971072272
23,1773,23,279.4938183006272
24,1774,24,279.4938183006272
25,1775,25,279.4938183006272
26,1776,26,279.4938183006272
27,1777,27,279.4938183006272
28,1778,28,280.2802033739508
29,1779,29,280.2802033739508
30,1780,30,280.2802033739508
31,1781,31,280.2802033739508
32,1782,32,280.2802033739508
33,1783,33,280.98329895913895
34,1784,34,280.98329895913895
35,1785,35,280.98329895913895
36,1786,36,280.98329895913895
37,1787,37,280.98329895913895
38,1788,38,281.8454244001988
39,1789,39,281.8454244001988
40,1790,40,281.8454244001988
41,1791,41,281.8454244001988
42,1792,42,281.8454244001988
43,1793,43,282.4457541109171
44,1794,44,282.4457541109171
45,1795,45,282.4457541109171
46,1796,46,282.4457541109171
47,1797,47,282.4457541109171
48,1798,48,282.9443113929203
49,1799,49,282.9443113929203
50,1800,50,282.9443113929203
51,1801,51,282.9443113929203
52,1802,52,282.9443113929203
53,1803,53,283.63994125605103
54,1804,54,283.63994125605103
55,1805,55,283.63994125605103
56,1806,56,283.63994125605103
57,1807,57,283.63994125605103
58,1808,58,283.9617470065747
59,1809,59,283.9617470065747
60,1810,60,283.9617470065747
61,1811,61,283.9617470065747
62,1812,62,283.9617470065747
63,1813,63,284.1277296601034
64,1814,64,284.1277296601034
65,1815,65,284.1277296601034
66,1816,66,284.1277296601034
67,1817,67,284.1277296601034
68,1818,68,284.1277296601034
69,1819,69,284.1277296601034
70,1820,70,284.1277296601034
71,1821,71,284.1277296601034
72,1822,72,284.1277296601034
73,1823,73,284.1277296601034
74,1824,74,284.1277296601034
75,1825,75,284.1277296601034
76,1826,76,284.1277296601034
77,1827,77,284.1277296601034
78,1828,78,284.1277296601034
79,1829,79,284.1277296601034
80,1830,80,284.1277296601034
81,1831,81,284.1277296601034
82,1832,82,284.1277296601034
83,1833,83,284.1277296601034
84,1834,84,284.1277296601034
85,1835,85,284.1277296601034
86,1836,86,284.1277296601034
87,1837,87,284.1277296601034
88,1838,88,284.1277296601034
89,1839,89,284.1277296601034
90,1840,90,284.1277296601034
91,1841,91,284.1277296601034
92,1842,92,284.1277296601034
93,1843,93,284.1277296601034
94,1844,94,284.1277296601034
95,1845,95,284.1277296601034
96,1846,96,284.1277296601034
97,1847,97,284.1277296601034
98,1848,98,284.76243509411273
99,1849,99,284.76243509411273
100,1850,100,284.76243509411273
101,1851,101,284.76243509411273
102,1852,102,284.76243509411273
103,1853,103,285.40558234791433
104,1854,104,285.40558234791433
105,1855,105,285.40558234791433
106,1856,106,285.40558234791433
107,1857,107,285.40558234791433
108,1858,108,286.2437927784872
109,1859,109,286.2437927784872
110,1860,110,286.2437927784872
111,1861,111,286.2437927784872
112,1862,112,286.2437927784872
113,1863,113,286.94873716666245
114,1864,114,286.94873716666245
115,1865,115,286.94873716666245
116,1866,116,286.94873716666245
117,1867,117,286.94873716666245
118,1868,118,287.7380528456486
119,1869,119,287.7380528456486
120,1870,120,287.7380528456486
121,1871,121,287.7380528456486
122,1872,122,287.7380528456486
123,1873,123,288.8405112793658
