,Year,time,extrapAnomaly,extrapSST
0,1820,0,-0.09035279284333199,27.601865537156666
1,1821,1,-0.040146641769562404,27.652071688230436
2,1822,2,-0.04849287873074215,27.64372545126926
3,1823,3,-0.08929089139521178,27.602927438604787
4,1824,4,-0.08929089139521178,27.602927438604787
5,1825,5,-0.08929089139521178,27.602927438604787
6,1826,6,-0.09496246545582991,27.59725586454417
7,1827,7,-0.10532986767777736,27.58688846232222
8,1828,8,-0.04140796980544378,27.650810360194555
9,1829,9,-0.04140796980544378,27.650810360194555
10,1830,10,-0.1028222042739765,27.589396125726022
11,1831,11,-0.1028222042739765,27.589396125726022
12,1832,12,-0.14801373085406636,27.54420459914593
13,1833,13,-0.1617578650320225,27.530460464967977
14,1834,14,-0.15685340339357315,27.535364926606427
15,1835,15,-0.1013523390285128,27.590865990971487
16,1836,16,-0.06606787096835641,27.626150459031642
17,1837,17,-0.06606787096835641,27.626150459031642
18,1838,18,-0.0796359846122801,27.612582345387718
19,1839,19,-0.0796359846122801,27.612582345387718
20,1840,20,-0.06149815248931387,27.630720177510685
21,1841,21,-0.0698042526505618,27.622414077349436
22,1842,22,-0.07168224942560326,27.620536080574396
23,1843,23,-0.17490149952996895,27.51731683047003
24,1844,24,-0.1945660629829197,27.49765226701708
25,1845,25,-0.1702771994526973,27.5219411305473
26,1846,26,-0.1702771994526973,27.5219411305473
27,1847,27,-0.19543224631260536,27.496786083687393
28,1848,28,-0.22798060471711926,27.46423772528288
29,1849,29,-0.22798060471711926,27.46423772528288
30,1850,30,-0.22798060471711926,27.46423772528288
31,1851,31,-0.22798060471711926,27.46423772528288
32,1852,32,-0.19465226985918496,27.497566060140816
33,1853,33,-0.19465226985918496,27.497566060140816
34,1854,34,-0.1684516582211145,27.523766671778883
35,1855,35,-0.1684516582211145,27.523766671778883
36,1856,36,-0.2551432039876362,27.437075126012363
37,1857,37,-0.2551432039876362,27.437075126012363
38,1858,38,-0.22551413245957652,27.466704197540423
39,1859,39,-0.2224473199629974,27.469771010037
40,1860,40,-0.2224473199629974,27.469771010037
41,1861,41,-0.2224473199629974,27.469771010037
42,1862,42,-0.2224473199629974,27.469771010037
43,1863,43,-0.2224473199629974,27.469771010037
44,1864,44,-0.2224473199629974,27.469771010037
45,1865,45,-0.21630529402831686,27.475913035971683
46,1866,46,-0.17995104119758246,27.512267288802416
47,1867,47,-0.17995104119758246,27.512267288802416
48,1868,48,-0.17995104119758246,27.512267288802416
49,1869,49,-0.17995104119758246,27.512267288802416
50,1870,50,-0.17995104119758246,27.512267288802416
51,1871,51,-0.17228308230663955,27.51993524769336
52,1872,52,-0.18417927146682259,27.50803905853318
53,1873,53,-0.18417927146682259,27.50803905853318
54,1874,54,-0.18417927146682259,27.50803905853318
55,1875,55,-0.18417927146682259,27.50803905853318
56,1876,56,-0.17932152743151397,27.512896802568484
57,1877,57,-0.17932152743151397,27.512896802568484
58,1878,58,-0.17932152743151397,27.512896802568484
59,1879,59,-0.17889188579575985,27.51332644420424
60,1880,60,-0.05688008705816255,27.635338242941838
61,1881,61,-0.009037266703611012,27.683181063296388
62,1882,62,-0.11347463703561127,27.578743692964387
63,1883,63,-0.13632576388877063,27.55589256611123
64,1884,64,-0.13058864176413182,27.56162968823587
65,1885,65,-0.1284406702190106,27.56377765978099
66,1886,66,-0.15734370712025586,27.534874622879745
67,1887,67,-0.1837673003722892,27.50845102962771
68,1888,68,-0.15258559902734717,27.539632730972652
69,1889,69,-0.15258559902734717,27.539632730972652
70,1890,70,-0.23301739420811796,27.45920093579188
71,1891,71,-0.18975757269732285,27.502460757302675
72,1892,72,-0.17982274375904936,27.51239558624095
73,1893,73,-0.17982274375904936,27.51239558624095
