,Year,time,CO2
0,1750.0,0.0,278.0
1,1755.0,5.0,278.0
2,1760.0,10.0,278.0
3,1765.0,15.0,278.0
4,1770.0,20.0,278.6
5,1775.0,25.0,279.3
6,1780.0,30.0,280.1
7,1785.0,35.0,280.8
8,1790.0,40.0,281.6
9,1795.0,45.0,282.3
10,1800.0,50.0,282.9
11,1805.0,55.0,283.4
12,1810.0,60.0,283.8
13,1815.0,65.0,284.0
14,1820.0,70.0,284.2
15,1825.0,75.0,284.3
16,1830.0,80.0,284.4
17,1835.0,85.0,283.8
18,1840.0,90.0,283.4
19,1845.0,95.0,283.9
20,1850.0,100.0,284.7
21,1855.0,105.0,285.4
22,1860.0,110.0,286.2
23,1865.0,115.0,286.9
24,1870.0,120.0,287.5
25,1875.0,125.0,288.7
26,1880.0,130.0,290.7
27,1885.0,135.0,293.0
28,1890.0,140.0,294.2
29,1895.0,145.0,294.8
30,1900.0,150.0,295.8
31,1905.0,155.0,297.6
32,1910.0,160.0,299.7
33,1915.0,165.0,301.4
34,1920.0,170.0,303.0
35,1925.0,175.0,305.0
36,1930.0,180.0,307.2
37,1935.0,185.0,309.4
38,1940.0,190.0,310.4
39,1945.0,195.0,310.1
40,1950.0,200.0,310.7
41,1955.0,205.0,313.0
42,1958.208,208.208,315.71
43,1958.292,208.292,317.45
44,1958.375,208.375,317.5
45,1958.458,208.458,317.1
46,1958.542,208.542,315.86
47,1958.625,208.625,314.93
48,1958.708,208.708,313.2
49,1958.792,208.792,312.66
50,1958.875,208.875,313.33
51,1958.958,208.958,314.67
52,1959.042,209.042,315.62
53,1959.125,209.125,316.38
54,1959.208,209.208,316.71
55,1959.292,209.292,317.72
56,1959.375,209.375,318.29
57,1959.458,209.458,318.15
58,1959.542,209.542,316.54
59,1959.625,209.625,314.8
60,1959.708,209.708,313.84
61,1959.792,209.792,313.26
62,1959.875,209.875,314.8
63,1959.958,209.958,315.58
64,1960.0,210.0,316.9
65,1960.042,210.042,316.43
66,1960.125,210.125,316.97
67,1960.208,210.208,317.58
68,1960.292,210.292,319.02
69,1960.375,210.375,320.03
70,1960.458,210.458,319.59
71,1960.542,210.542,318.18
72,1960.625,210.625,315.91
73,1960.708,210.708,314.16
74,1960.792,210.792,313.83
75,1960.875,210.875,315.0
76,1960.958,210.958,316.19
77,1961.042,211.042,316.93
78,1961.125,211.125,317.7
79,1961.208,211.208,318.54
80,1961.292,211.292,319.48
81,1961.375,211.375,320.58
82,1961.458,211.458,319.77
83,1961.542,211.542,318.57
84,1961.625,211.625,316.79
85,1961.708,211.708,314.8
86,1961.792,211.792,315.38
87,1961.875,211.875,316.1
88,1961.958,211.958,317.01
89,1962.042,212.042,317.94
90,1962.125,212.125,318.56
91,1962.208,212.208,319.68
92,1962.292,212.292,320.63
93,1962.375,212.375,321.01
94,1962.458,212.458,320.55
95,1962.542,212.542,319.58
96,1962.625,212.625,317.4
97,1962.708,212.708,316.26
98,1962.792,212.792,315.42
99,1962.875,212.875,316.69
100,1962.958,212.958,317.69
101,1963.042,213.042,318.74
102,1963.125,213.125,319.08
103,1963.208,213.208,319.86
104,1963.292,213.292,321.39
105,1963.375,213.375,322.25
106,1963.458,213.458,321.47
107,1963.542,213.542,319.74
108,1963.625,213.625,317.77
109,1963.708,213.708,316.21
110,1963.792,213.792,315.99
111,1963.875,213.875,317.12
112,1963.958,213.958,318.31
113,1964.042,214.042,319.57
114,1964.125,214.125,320.07
115,1964.208,214.208,320.73
116,1964.292,214.292,321.77
117,1964.375,214.375,322.25
118,1964.458,214.458,321.89
119,1964.542,214.542,320.44
120,1964.625,214.625,318.7
121,1964.708,214.708,316.7
122,1964.792,214.792,316.79
123,1964.875,214.875,317.79
124,1964.958,214.958,318.71
125,1965.0,215.0,320.0
126,1965.042,215.042,319.44
127,1965.125,215.125,320.44
128,1965.208,215.208,320.89
129,1965.292,215.292,322.13
130,1965.375,215.375,322.16
131,1965.458,215.458,321.87
132,1965.542,215.542,321.39
133,1965.625,215.625,318.81
134,1965.708,215.708,317.81
135,1965.792,215.792,317.3
136,1965.875,215.875,318.87
137,1965.958,215.958,319.42
138,1966.042,216.042,320.62
139,1966.125,216.125,321.59
140,1966.208,216.208,322.39
141,1966.292,216.292,323.87
142,1966.375,216.375,324.01
143,1966.458,216.458,323.75
144,1966.542,216.542,322.39
145,1966.625,216.625,320.37
146,1966.708,216.708,318.64
147,1966.792,216.792,318.1
148,1966.875,216.875,319.79
149,1966.958,216.958,321.08
150,1967.042,217.042,322.07
151,1967.125,217.125,322.5
152,1967.208,217.208,323.04
153,1967.292,217.292,324.42
154,1967.375,217.375,325.0
155,1967.458,217.458,324.09
156,1967.542,217.542,322.55
157,1967.625,217.625,320.92
158,1967.708,217.708,319.31
159,1967.792,217.792,319.31
160,1967.875,217.875,320.72
161,1967.958,217.958,321.96
162,1968.042,218.042,322.57
163,1968.125,218.125,323.15
164,1968.208,218.208,323.89
165,1968.292,218.292,325.02
166,1968.375,218.375,325.57
167,1968.458,218.458,325.36
168,1968.542,218.542,324.14
169,1968.625,218.625,322.03
170,1968.708,218.708,320.41
171,1968.792,218.792,320.25
172,1968.875,218.875,321.31
173,1968.958,218.958,322.84
174,1969.042,219.042,324.0
