Year,conc,time
1749,277.6,0
1752,277.23,3
1763,277.16,14
1764,276.4,15
1773,277.86,24
1779,280.24,30
1780,273.07,31
1794,281.62,45
1796,281.35,47
1799,282.8,50
1814,284.43,65
1825,281.36,76
1827,285.91,78
1833,284.45,84
1837,284.15,88
1841,283.65,92
1843,281.58,94
1844,283.53,95
1845,283.18,96
1846,283.62,97
1847,286.84,98
1850,284,101
1851,287.13,102
1854,288.05,105
1855,285.57,106
1857,283.16,108
1859,286.63,110
1862,287.17,113
1863,285.35,114
1864,286.65,115
1867,285.05,118
1868,288.76,119
1870,287.16,121
1873,286.66,124
1874,291.56,125
1877,289.33,128
1880,287.77,131
1883,292.46,134
1884,289.49,135
1886,288.12,137
1887,294.34,138
1889,292.34,140
1890,290.92,141
1892,295.17,143
1893,295.09,144
1894,293.49,145
1899,296.16,150
1900,294.22,151
1902,295.61,153
1904,295.99,155
1905,299.02,156
1906,298.48,157
1909,301.5,160
1910,297.87,161
1911,298.36,162
1913,301.3,164
1914,300.7,165
1916,301.92,167
1918,303.85,169
1919,304.61,170
1920,301.88,171
1923,304.69,174
1925,304.84,176
1928,306.84,179
1929,305.62,180
1931,305.74,182
1932,308.26,183
1933,307.11,184
1934,308.35,185
1935,306.32,186
1936,308.3,187
1937,307.41,188
1938,311.07,189
1939,310.83,190
1940,310.38,191
1941,309.77,192
1942,312.37,193
1944,312.36,195
1945,310.94,196
1946,312.26,197
1947,311.61,198
1948,311.57,199
1949,309.69,200
1950,312.83,201
1952,312.18,203
1954,312.73,205
1955,314.71,206
1956,315.34,207
1957,315.34,208
1958,315.34,209
1959,315.97,210
1960,316.91,211
1961,317.64,212
1962,318.45,213
1963,318.99,214
1964,319.62,215
1965,320.04,216
1966,321.38,217
1967,322.16,218
1968,323.04,219
1969,324.62,220
1970,325.68,221
1971,326.32,222
1972,327.45,223
1973,329.68,224
1974,330.18,225
1975,331.11,226
1976,332.04,227
1977,333.83,228
1978,335.4,229
1979,336.84,230
1980,338.75,231
1981,340.11,232
1982,341.45,233
1983,343.05,234
1984,344.65,235
1985,346.12,236
1986,347.42,237
1987,349.19,238
1988,351.57,239
1989,353.12,240
1990,354.39,241
1991,355.61,242
1992,356.45,243
1993,357.1,244
1994,358.83,245
1995,360.82,246
1996,362.61,247
1997,363.73,248
1998,366.7,249
1999,368.38,250
2000,369.55,251
2001,371.14,252
2002,373.28,253
2003,375.8,254
2004,377.52,255
2005,379.8,256
2006,381.9,257
2007,383.79,258
2008,385.6,259
2009,387.43,260
2010,389.9,261
2011,391.65,262
2012,393.85,263
2013,396.52,264
2014,398.65,265
2015,400.83,266
2016,404.24,267
2017,406.55,268
2018,408.52,269
