,0
0,2.3005153391183405e+17
1,2.3068354362038304e+17
2,2.3133338198413616e+17
3,2.319892806417861e+17
4,2.3260816821458826e+17
5,2.3291629055311e+17
6,2.332323235117981e+17
7,2.3352639251924195e+17
8,2.344744022317693e+17
9,2.3510640870678755e+17
10,2.3570889864270176e+17
11,2.369936413789479e+17
12,2.376256244226251e+17
13,2.3826788977521642e+17
14,2.3889990009292256e+17
15,2.4077842218030336e+17
16,2.4109440436164234e+17
17,2.4172636872432032e+17
18,2.4234151311969347e+17
19,2.4360535412683658e+17
20,2.4496880426315574e+17
21,2.4586767510408938e+17
22,2.4704896315641226e+17
23,2.4831264071731466e+17
24,2.4926765566530195e+17
25,2.5021004957391648e+17
26,2.5148328439384266e+17
27,2.52465815018146e+17
28,2.5372479860755312e+17
29,2.5498868303399178e+17
30,2.5662087079346234e+17
31,2.5788501301411984e+17
32,2.5882457037915453e+17
33,2.594005236767996e+17
34,2.6003243725457498e+17
35,2.606643508323504e+17
36,2.619281779879012e+17
37,2.6319200514345197e+17
38,2.64849554504459e+17
39,2.6548165367988733e+17
40,2.6769400079388637e+17
41,2.6898304790239418e+17
42,2.6989895621244163e+17
43,2.708470790094408e+17
44,2.7242728367110618e+17
45,2.743235292651046e+17
46,2.7568907627580086e+17
47,2.772440776780836e+17
48,2.7886912901517328e+17
49,2.805121325685825e+17
50,2.8175367522882454e+17
51,2.8299098078730333e+17
52,2.8488754682662266e+17
53,2.8612281947887763e+17
54,2.8781038247196275e+17
55,2.897080333454043e+17
56,2.912894090732722e+17
57,2.9287078480114016e+17
58,2.953232776869142e+17
59,2.969402734905798e+17
60,2.9852301118936806e+17
61,3.00736635213018e+17
