,0
0,239479982200.0098
1,297743586799.6639
2,508102458222.4834
3,281531767854.58954
4,336756189080.68884
5,389756723779.93164
6,361268817205.2266
7,386733000226.30444
8,377387121870.51196
9,304620533145.1198
10,393802407361.67975
11,309882048203.2487
12,489328050375.08856
13,162307012397.36407
14,300864078483.3447
15,393533643363.2992
16,249416722808.15802
17,304615434057.452
18,210878593438.67584
19,201506379228.37933
20,326133485587.2925
21,300447923541.27985
22,290067991482.0119
23,195931810962.00305
24,177633079539.75992
25,198912641317.2599
26,210715705443.26498
27,185472729638.22455
28,167200030771.50076
29,351430546656.4803
30,416726559594.2198
31,376735965091.35736
32,245176451668.8943
33,238663314968.50134
34,209631501149.3905
35,235267262780.019
36,416017075050.94086
37,384440324616.3391
38,129025926556.22371
39,430941750888.27435
40,445614692757.11383
41,287230783174.71045
42,255438346853.4742
43,304732102624.1826
44,309716533599.49347
45,345234686100.00494
46,633215568411.7527
47,378617441967.69366
48,301680032746.9741
49,544127474416.5606
50,451288580924.7717
51,358974104932.8946
52,353509284791.4015
53,296888100995.4507
54,407395546364.727
55,440938228602.48047
56,445828282963.9804
57,340548893686.03534
58,350729306087.5447
59,379057373636.3407
60,216522058870.42572
