,0
0,159653321466.6732
1,159653321466.6732
2,159653321466.6732
3,159653321466.6732
4,159653321466.6732
5,159653321466.6732
6,159653321466.6732
7,159653321466.6732
8,159653321466.6732
9,159653321466.6732
10,159653321466.6732
11,169904651976.66425
12,270084044330.91534
13,192951810422.09283
14,255823600996.26114
15,297705150814.2851
16,251026591639.18112
17,192035642342.0913
18,272139851115.17755
19,193953193620.9561
20,251344293963.54343
21,185674776171.76797
22,211786255457.32315
23,272444167126.9809
24,172444167126.9809
25,185792174882.8103
26,186414939976.52185
27,189419541262.56348
28,193053569601.14963
29,203124503977.5281
30,259973037400.9318
31,255936663487.4778
32,252456873612.4563
33,196664025469.0197
34,197701995261.2071
35,196741449754.70392
36,210473780600.31973
37,169329410261.6308
38,167372026526.8313
39,191906899500.70847
40,202032147770.8115
41,191751845226.2984
42,174997340583.2651
43,188639555067.31314
44,169362904548.70062
45,162888230248.23386
46,259525675387.9165
47,270430531955.70343
48,188123077762.09415
49,183090330342.8533
50,258166868360.06418
51,261901284104.2615
52,254814612290.0818
53,160057887596.3469
54,163259119277.8306
55,178509134586.0064
56,171268136837.79532
57,185794403123.8397
58,186670539066.1883
59,198938646019.89685
60,194753636304.44348
